사업유형,사업번호,사업년도,사업명,홈페이지모집시작일자,홈페이지모집종료일자,홈페이지공고시작일,홈페이지공고종료일,홈페이지담당자명,홈페이지모집인원수,삭제여부
사회서비스형,2021-09752,2021,온종일돌봄시설지원(지역아동센터지원),2021-01-04 00:00:00,2021-01-08 00:00:00,2020-12-28 00:00:00,2021-01-08 00:00:00,이정욱,25,N
사회서비스형,2021-48677,2021,노인관련시설지원(노인복지관련 단체 및 시설지원),2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,이정욱,4,N
사회서비스형,2021-09756,2021,노인맞춤돌봄서비스지원사업,2021-01-04 00:00:00,2021-01-08 00:00:00,2020-12-28 00:00:00,2021-01-08 00:00:00,이정욱,21,N
시장형,2021-08956,2021,실버유기농사랑단,2020-12-03 00:00:00,2020-12-18 00:00:00,2020-12-03 00:00:00,2020-12-18 00:00:00,김명수,15,N
공익활동형,2021-10085,2021,청소년선도봉사(교육시설 자원봉사),2020-12-03 00:00:00,2020-12-18 00:00:00,2020-12-03 00:00:00,2020-12-18 00:00:00,김명수,98,N
사회서비스형,2021-10054,2021,괴산 아이사랑,2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,김명수,26,Y
사회서비스형,2021-48809,2021,아이들 세상,2021-08-02 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,김명수,5,Y
사회서비스형,2021-49157,2021,아이행복,2021-08-02 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,김명수,6,N
사회서비스형,2021-10076,2021,괴산 아이사랑,2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,김명수,26,N
사회서비스형,2021-10077,2021,괴산행복(지역아동센터),2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,김명수,24,N
사회서비스형,2021-48815,2021,아이행복,2021-08-02 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,김명수,6,Y
사회서비스형,2021-49161,2021,아이들세상,2021-08-02 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,김명수,5,N
공익활동형,2021-08592,2021,9988행복지키미,2020-12-03 00:00:00,2020-12-18 00:00:00,2020-12-03 00:00:00,2020-12-18 00:00:00,김명수,404,N
공익활동형,2021-08609,2021,청소년선도봉사 (교육시설 자원봉사),2020-12-03 00:00:00,2020-12-18 00:00:00,2020-12-03 00:00:00,2020-12-18 00:00:00,김명수,98,Y
공익활동형,2021-03873,2021,복지시설 및 교육기관지원사업,2020-12-01 00:00:00,2020-12-31 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,김현정,105,N
공익활동형,2021-03942,2021,초등학교급식도우미사업,2020-12-01 00:00:00,2020-12-31 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,김현정,25,Y
공익활동형,2021-09893,2021,초등학교급식도우미사업,2020-12-01 00:00:00,2020-12-31 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,김현정,25,N
공익활동형,2021-05204,2021,급식도우미사업,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,한민자,22,N
시장형,2021-05223,2021,은빛사랑채,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,한민자,7,N
사회서비스형,2021-49317,2021,아이행복도우미,2021-08-17 00:00:00,2021-09-17 00:00:00,2021-08-17 00:00:00,2021-09-17 00:00:00,연명순,4,N
공익활동형,2021-05726,2021,노노케어사업(9988행복지키미),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,김유미,599,N
공익활동형,2021-05718,2021,우리동내 깔끔대장,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,홍순란,599,N
공익활동형,2021-05724,2021,녹색지대,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,홍순란,599,N
시장형,2021-05748,2021,어르신뻥쟁이,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이미연,10,N
공익활동형,2021-05713,2021,은빛증평지킴이,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,김유미,599,N
공익활동형,2021-05717,2021,행복한실버프랜드 ,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,홍순란,599,N
공익활동형,2021-05719,2021,어르신실버경찰대,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,연명순,60,N
공익활동형,2021-48676,2021,푸름 환경 사업단,2021-08-17 00:00:00,2021-09-17 00:00:00,2021-08-17 00:00:00,2021-09-17 00:00:00,김유미,20,Y
